Address,ZipCode,Latitude,Longitude,Min Price,Max Price,Avg Price,UF-Apt Distance
1101 NW 39th Ave,32609,29.6883,-82.33686,945.0,1225.0,1085.0,3.2644484399899625
4000 SW 37th Blvd,32608,29.616148,-82.378658,329.0,499.0,414.0,2.370442384367105
3415 SW 39th Blvd,32608,29.616714,-82.3733,299.0,539.0,419.0,2.1575818104905715
205 SW 75th St,32607,29.650135,-82.420359,806.0,1037.0,921.5,3.9639735008417305
2930 SW 23rd Ter,32608,29.624578,-82.359783,850.0,850.0,850.0,1.3427150334114009
3718 SW 24th Ave,32607,29.631346,-82.379507,699.0,835.0,767.0,1.7042842625127497
2801 NW 23rd Blvd,32605,29.679284,-82.348433,1449.0,1689.0,1569.0,2.488404313806825
3461 SW 2nd Ave,32607,29.647995,-82.374755,465.0,1045.0,755.0,1.232344913900206
629 SW 9th St,32601,29.645876,-82.333199,609.0,4730.0,2669.5,1.3150436032563821
3515 SW 39th Blvd,32608,29.616294,-82.37552,989.0,1349.0,1169.0,2.253177722844854
3780 NW 24th Blvd,32605,29.68726,-82.35702,1186.0,1799.0,1492.5,3.009873625394968
3205 NW 83rd St,32606,29.683541,-82.426741,424.0,499.0,461.5,5.1229158974224225
2330 SW Williston Rd,32608,29.615736,-82.358144,979.0,1309.0,1144.0,1.9290811995085602
4117 SW 20th Ave,32607,29.632564,-82.386186,695.0,925.0,810.0,2.030155364762661
3801 SW 13th St,32608,29.617917,-82.338644,549.0,799.0,674.0,2.021406862763664
2800 SW 35th Pl,32608,29.622903,-82.36472,529.0,729.0,629.0,1.5431552944788047
207 SE 2nd Pl,32601,29.649473,-82.322862,889.0,1699.0,1294.0,1.9695577076495232
3611 SW 34th St,32608,29.620446,-82.370342,1094.0,1294.0,1194.0,1.8457278418013818
2337 SW Archer Rd,32608,29.633012,-82.356899,1380.0,2475.0,1927.5,0.7391194082933292
205 SE 16th Ave,32601,29.628957,-82.32484,885.0,1330.0,1107.5,2.070932591182823
5900 SW 76th Ct,32608,29.60031,-82.42394,1275.0,1860.0,1567.5,5.1139777545459175
1210 SW 11th Ave,32601,29.64089,-82.33829,1500.0,2400.0,1950.0,1.0166665459858484
1000 SW 62nd Blvd,32607,29.642184,-82.40097,439.0,604.0,521.5,2.773622074613548
2701 NW 23rd Blvd,32605,29.678824,-82.346203,1039.0,1594.0,1316.5,2.4818921816188975
1231 SW 3rd Ave,32601,29.648874,-82.337948,529.0,790.0,659.5,1.0826801392611347
4170 NW 50th Ter,32606,29.69221,-82.39576,1208.0,1268.0,1238.0,4.15340553319129
2701 SW 13th St,32608,29.62551,-82.33766,844.0,1209.0,1026.5,1.6212958849035741
1130 SW 5th Ave,32601,29.647834,-82.336938,495.0,1455.0,975.0,1.1193505486137005
3500 SW 19th Ave,32607,29.6359,-82.37506,635.0,779.0,707.0,1.3238828405705914
2725 SW 27th Ave,32608,29.62506,-82.3631,859.0,989.0,924.0,1.3689848321755171
3700 Windmeadows Blvd,32608,29.627828,-82.379268,885.0,1539.0,1212.0,1.8248337794325447
1105 Ft Clarke Blvd,32606,29.66211,-82.43218,1069.0,1469.0,1269.0,4.820903313639045
3301 SW 13th St,32608,29.622804,-82.336307,874.0,1589.0,1231.5,1.8175152541614281
3500 Windmeadows Blvd,32608,29.62956,-82.37374,929.0,1204.0,1066.5,1.490048682065699
4803 SW 34th Pl,32608,29.620849,-82.394913,1600.0,2350.0,1975.0,2.8727480461337893
6400 SW 20th Ave,32607,29.64016,-82.41128,875.0,895.0,885.0,3.400529886981564
4440 SW Archer Rd,32608,29.618732,-82.391161,929.0,1321.0,1125.0,2.7739502739775763
6929 W University Ave,32607,29.651976,-82.416021,695.0,945.0,820.0,3.7222858857495273
3751 SW 20th Ave,32607,29.633145,-82.379791,749.0,825.0,787.0,1.661815507381879
4100 NW 28th Ln,32606,29.680057,-82.386452,720.0,1100.0,910.0,3.1476864035740233
4442 SW 32nd Rd,32608,29.62337,-82.39183,1564.0,1803.0,1683.5,2.622898849872389
1902 SW 42nd Way,32607,29.635485,-82.388752,825.0,950.0,887.5,2.1121476039678293
3316 SW 41st Pl,32608,29.61598,-82.37157,809.0,899.0,854.0,2.150644133115638
1900 SW 13th St,32608,29.63434,-82.339852,600.0,1349.0,974.5,1.1075174863019241
3230 SW Archer Rd,32608,29.629347,-82.371512,740.0,1060.0,900.0,1.401020901550568
4830 NW 43rd St,32606,29.699026,-82.390394,1045.0,1404.0,1224.5,4.37402048297679
4455 SW 34th St,32608,29.610912,-82.369562,1264.0,1544.0,1404.0,2.418149578698292
4000 NW 51st St,32606,29.69097,-82.398305,1010.0,1305.0,1157.5,4.178780723108767
700 SW 62nd Blvd,32607,29.646499,-82.403186,899.0,1374.0,1136.5,2.9120293243249957
6815 W University Ave,32607,29.651131,-82.414811,839.0,1264.0,1051.5,3.6416543442656266
5400 NW 39th Ave,32606,29.69073,-82.40161,1010.0,1450.0,1230.0,4.293283937680194
701 SW 62nd Blvd,32607,29.646618,-82.399004,569.0,1329.0,949.0,2.6616892439046067
3793 NE 1st Way,32609,29.687248,-82.32331,2484.0,3438.0,2961.0,3.5565570732075864
5950 SW 20th Ave,32607,29.641148,-82.406486,925.0,1010.0,967.5,3.1083967998374487
309 SW 16th Ave,32601,29.635407,-82.329566,849.0,969.0,909.0,1.6254296899548542
1405 SW 10th Ter,32601,29.637897,-82.334891,799.0,899.0,849.0,1.2663731477222533
1901 SW 40th Ter,32607,29.634959,-82.384396,725.0,800.0,762.5,1.8718933450020077
4100 SW 20th Ave,32607,29.63551,-82.38518,944.0,1259.0,1101.5,1.9052292937381925
75 SW 75th St,32607,29.6527,-82.42171,899.0,1334.0,1116.5,4.068141376695777
117 SE 16th Ave,32601,29.631403,-82.325633,850.0,850.0,850.0,1.9511293179476954
3425 SW 2nd Ave,32607,29.649528,-82.373202,875.0,1200.0,1037.5,1.1744034288606597
311 SW 13th St,32601,29.649057,-82.338943,759.0,949.0,854.0,1.0310093868226593
6001 SW 75th Ter,32608,29.59956,-82.42252,1370.0,1657.0,1513.5,5.0755109636754
3980 SW 24th Ave,32607,29.630842,-82.383229,1349.0,2275.0,1812.0,1.9177433409098774
3000 SW 35th Pl,32608,29.6236,-82.36716,559.0,859.0,709.0,1.5626350351916392
3700 SW 27th St,32608,29.616662,-82.363765,489.0,779.0,634.0,1.9305636225066594
316 SW 62nd Blvd,32607,29.65006,-82.40901,971.0,1206.0,1088.5,3.2857904633613386
124 SW 62nd St,32607,29.65193,-82.40964,1119.0,1385.0,1252.0,3.343001089441754
2510 NE 9th St,32609,29.675723,-82.315702,1119.0,1149.0,1134.0,3.233526220557819
303 NW 17th St,32603,29.654167,-82.344277,659.0,2299.0,1479.0,0.9686061027954375
4400 SW 20th Ave,32607,29.635859,-82.387616,574.0,719.0,646.5,2.0394229056365845
2777 SW Archer Rd,32608,29.628754,-82.364193,504.0,1119.0,811.5,1.1654478605573773
1216 SW 2nd Ave,32601,29.65054,-82.33785,769.0,2424.0,1596.5,1.1317132345907974
1800 NW 4th St,32609,29.66833,-82.329516,1045.0,1045.0,1045.0,2.2876453912496446
3800 NW 79th Ter,32606,29.68787,-82.42746,1212.0,1695.0,1453.5,5.324339947083807
1601 SW 51st Ter,32607,29.63733,-82.39614,489.0,584.0,536.5,2.518658360949018
110 NW 17th St,32603,29.653152,-82.345514,,,,0.8670255309654185
1015 NW 21st Ave,32609,29.671103,-82.335212,569.0,1169.0,869.0,2.2341152214135693
2220 SW 34th St,32608,29.631579,-82.37366,890.0,1200.0,1045.0,1.3998975992012745
3600 Windmeadows Blvd,32608,29.629153,-82.37584,699.0,899.0,799.0,1.6055242685053819
321 NW 21st Ln,32609,29.67268,-82.32937,729.0,899.0,814.0,2.5240002636400427
500 SW 34th St,32607,29.647597,-82.372887,900.0,1250.0,1075.0,1.1166679501544239
9730 NW 24th Ln,32606,29.663429,-82.293009,1365.0,1935.0,1650.0,3.966002395452301
708 SW 16th Ave,32601,29.6378,-82.33352,750.0,800.0,775.0,1.3470058617282308
1505 Fort Clarke Blvd,32606,29.669029,-82.432515,1047.0,1612.0,1329.5,4.986950951492225
1303 SW 13th St,32608,29.63885,-82.33857,725.0,725.0,725.0,1.035585436626668
2001 SW 16th St,32608,29.63401,-82.3429,845.0,990.0,917.5,0.9785877850206461
1800 W University Ave,32603,29.65233,-82.346543,1600.0,3200.0,2400.0,0.7838086871987028
3010 SW 23rd Ter,32608,29.62441,-82.35752,849.0,849.0,849.0,1.3311126392889285
1105 W University Ave,32601,29.651781,-82.336258,605.0,1435.0,1020.0,1.2551752785630559
425 W University Ave,32601,29.65162,-82.32941,739.0,1580.0,1159.5,1.6300439910629934
2601 NW 23rd Blvd,32605,29.67675,-82.34459,775.0,1175.0,975.0,2.366009292801951
5500 SW Archer Rd,32608,29.60939,-82.40224,747.0,843.0,795.0,3.696965636876511
505 SW 72nd Way,32607,29.64836,-82.41892,949.0,1249.0,1099.0,3.865719817617868
1700 SW 16th Ct,32608,29.635083,-82.341937,2200.0,2200.0,2200.0,0.9759555640007348
10000 SW 52nd Ave,32608,29.607165,-82.447895,1585.0,1585.0,1585.0,6.133140467905356
10000 SW 52nd Ave Apt X143,32608,29.6074,-82.448083,1390.0,1390.0,1390.0,6.136865306675161
5820 SW 85th St,32608,29.600113,-82.43355,1800.0,1800.0,1800.0,5.6012542863247035
1440 NW 3rd Pl Apt 102,32603,29.650814,-82.355797,1475.0,1475.0,1475.0,0.49979970363905074
10000 SW 52nd Ave Apt I46,32608,29.606831,-82.450578,1500.0,1500.0,1500.0,6.2900458282360265
